Name	Location	Office/Cmte	Party	Election Type	Year
ALEXANDER, MELISSA	HUDSON COUNTY	COUNTY REGISTRAR OF DEEDS	DEMOCRAT	PRIMARY	2026
APONTE-LIPSKI, YRAIDA	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
BASELICE, ROBERT P	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
BAUTISTA, RONALD	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
BENNETT, LARRY	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
CEDENO, FANNY	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
DUBLIN, JEFFREY	HUDSON COUNTY	COUNTY REGISTRAR OF DEEDS	DEMOCRAT	PRIMARY	2026
EKLADIOUS, MINA	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
GHAINDA, ADRIAN	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
GOPALAK, ANMOL	HUDSON COUNTY	COUNTY COMMISSIONER	REPUBLICAN	PRIMARY	2026
JOHNSON, PAM	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
KOPACZ, KENNETH	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
O'DEA, WILLIAM	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
RAZA, QAMAR	HUDSON COUNTY	COUNTY REGISTRAR OF DEEDS	REPUBLICAN	PRIMARY	2026
RODRIGUEZ, CARIDAD	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
ROMANO, ANTHONY L JR	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
SABRY GUIRGIS, DAVID	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
VALDEZ, ALEX	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
WALKER, ERICA	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026
WEINER, AARON	HUDSON COUNTY	COUNTY COMMISSIONER	INDEPENDENT	GENERAL	2026
