Candidate,State,Amount
"Divincenzo, Joseph",AZ,900.0
"Divincenzo, Joseph",CO,500.0
"Divincenzo, Joseph",DC,18800.0
"Divincenzo, Joseph",FL,25800.0
"Divincenzo, Joseph",MA,500.0
"Divincenzo, Joseph",NC,4100.0
"Divincenzo, Joseph",NJ,683085.32
"Divincenzo, Joseph",NY,22500.0
"Divincenzo, Joseph",OH,1000.0
"Divincenzo, Joseph",PA,20500.0
"Divincenzo, Joseph",TN,2000.0
"Divincenzo, Joseph",TX,2000.0
"Engel, Deborah",FL,11000.0
"Engel, Deborah",NJ,3250.0
"Gill, Brendan",DC,1000.0
"Gill, Brendan",NJ,30150.0
"Gill, Brendan",NY,500.0
"Gill, Brendan",PA,1000.0
"Graham Sermons, Romaine",NJ,22542.0
"Klein, Shawn",FL,2500.0
"Klein, Shawn",NJ,68657.27
"Klein, Shawn",NY,3500.0
"Klein, Shawn",PA,5000.0
"Kraemer, Adam",NJ,5000.0
"Lewis, Marqes-Aquil",NJ,16893.27
"Luciano, Leonard M",CO,600.0
"Luciano, Leonard M",NJ,56737.0
"Luciano, Leonard M",PA,2600.0
Luna & Depena (Graziano Melham)  Belleville Victory 2026,CO,300.0
Luna & Depena (Graziano Melham)  Belleville Victory 2026,FL,700.0
Luna & Depena (Graziano Melham)  Belleville Victory 2026,NJ,89860.26
Luna & Depena (Graziano Melham)  Belleville Victory 2026,NY,2950.0
Luna & Depena (Graziano Melham)  Belleville Victory 2026,PA,250.0
"Mcgrath, Christine",NJ,31102.07
"Mcgrath, Christine",NY,800.0
"Mcgrath, Christine",PA,5000.0
"Melham, Michael A",CO,2000.0
"Melham, Michael A",FL,1540.92
"Melham, Michael A",MO,1000.0
"Melham, Michael A",MS,800.0
"Melham, Michael A",NJ,285884.11
"Melham, Michael A",NY,4654.79
"Melham, Michael A",PA,1000.0
"Mercado, Robert",NJ,250.0
"Muhammad, Medinah",NJ,10430.0
"Muhammad, Medinah",NY,500.0
"Muhammad, Medinah",PA,1300.0
"Murray-Thomas, A'Dorian",NJ,7750.0
"Murray-Thomas, A'Dorian",NY,1000.0
Pichardo Muhammad Luciano Pomares Klein Mcgrath Richardson & Yasin,NJ,50000.0
"Pichardo, Wilson A",NJ,1500.0
"Pomares, Carlos",DC,3500.0
"Pomares, Carlos",NJ,41374.59
"Pomares, Carlos",PA,11100.0
"Richardson, Wayne",DC,5250.0
"Richardson, Wayne",MD,300.0
"Richardson, Wayne",NJ,132590.0
"Richardson, Wayne",NY,11050.0
"Richardson, Wayne",PA,7900.0
"Russo, Robert J",NJ,1500.0
"Sebold, Patricia",NJ,5665.0
"Velez, Frank Iii",NJ,9237.5
"Wells, Danyale P",NJ,6505.139999999999
"Yasin, Abdur R",NJ,33068.0
"Yasin, Abdur R",NY,1250.0
"Yasin, Abdur R",PA,5000.0
