CandidateID,Candidate,Contributor Location,Amount
437001,"Melham, Michael A",In-state,285884.11
437001,"Melham, Michael A",Out-of-state,10995.71
437003,"Depena, Noamy",Undisclosed,0.0
437004,"Graziano, Thomas",Undisclosed,0.0
437005,Luna & Depena (Graziano Melham)  Belleville Victory 2026,In-state,89860.26
437005,Luna & Depena (Graziano Melham)  Belleville Victory 2026,Out-of-state,4200.0
437063,"Vauss, Anthony",In-state,143250.0
437063,"Vauss, Anthony",Out-of-state,13400.0
438228,"Ramos, Anibal Jr",In-state,627261.87
438228,"Ramos, Anibal Jr",Out-of-state,82850.0
441239,"Council, Patrick O",In-state,303762.83
441239,"Council, Patrick O",Out-of-state,31700.0
441756,"Frederic, Charnette",Undisclosed,0.0
441757,"Hudley, October",Undisclosed,0.0
441758,Frederic Brown & Evans (Hudley) Team Irvington Strong,In-state,275150.0
441758,Frederic Brown & Evans (Hudley) Team Irvington Strong,Out-of-state,35100.0
442017,"Crump, Cecil Lawrence",In-state,245800.0
442017,"Crump, Cecil Lawrence",Out-of-state,7000.0
442150,"Spango, James R",In-state,194160.02
442150,"Spango, James R",Out-of-state,6083.34
447217,"Silva, Michael J",In-state,207880.0
447217,"Silva, Michael J",Out-of-state,28300.0
447717,"Baraka, Ras J",In-state,569820.6
447717,"Baraka, Ras J",Out-of-state,61766.67
448273,"Mccartney, Susan",In-state,1000.0
453829,"Scott-Rountree, Louise",In-state,53780.0
453829,"Scott-Rountree, Louise",Out-of-state,5000.0
454582,"Sebold, Patricia",In-state,5665.0
454589,"Mercado, Robert",In-state,250.0
459043,"Brown, Darlene",Undisclosed,0.0
459044,"Evans, Sean",Undisclosed,0.0
459513,"Richardson, Wayne",In-state,132590.0
459513,"Richardson, Wayne",Out-of-state,24500.0
460791,"Talmadge, Ryan",Undisclosed,0.0
460864,"Bardi, Christopher",Undisclosed,0.0
460885,"Bardi, Christopher",Undisclosed,0.0
460962,"Pomares, Carlos",In-state,41374.59
460962,"Pomares, Carlos",Out-of-state,14600.0
461281,"Mciver, Lamonica",In-state,2006.46
461343,"Luciano, Leonard M",In-state,56737.0
461343,"Luciano, Leonard M",Out-of-state,3200.0
461375,"Graham Sermons, Romaine",In-state,22542.0
461379,"Murray-Thomas, A'Dorian",In-state,7750.0
461379,"Murray-Thomas, A'Dorian",Out-of-state,1000.0
461613,"Gill, Brendan",In-state,30150.0
461613,"Gill, Brendan",Out-of-state,2500.0
466297,"Klein, Shawn R",Undisclosed,0.0
470812,"Tempesta, Joseph Jr",In-state,24200.0
470814,"Hollaway, Tammy",Undisclosed,0.0
473245,"Charris Tabares, Monica M",Undisclosed,0.0
473413,"Adams, Eric",Undisclosed,0.0
473414,"Herran, Alonzo Jr",In-state,33500.0
473506,"Baptiste, Ruth",Undisclosed,0.0
473507,"Inman, Paul",Undisclosed,0.0
473508,Inman Baptiste Watford & Ogu Team Inman 2026,In-state,38337.0
473650,"Ogbourne, Lynn",In-state,250.0
473650,"Ogbourne, Lynn",Out-of-state,6235.0
473663,"Tillman, George  Jr",Undisclosed,0.0
473962,"Montague, Sheila A",Undisclosed,0.0
475395,"Mccoy, Jimmy L",Undisclosed,0.0
475410,"Kelly, Ade'Kamil",Undisclosed,0.0
477217,"White, Altarik B Sr",In-state,1250.0
481046,"Lloyd, Lynda A",Undisclosed,0.0
502667,"Jackson, Donald L",In-state,2800.0
502671,"Gonzalez, Rosalee",Undisclosed,0.0
502672,"Cruz, Sarah",Undisclosed,0.0
502673,Gonzalez Martinez & Cruz Team Mundell For Bloomfield,In-state,156481.7
502673,Gonzalez Martinez & Cruz Team Mundell For Bloomfield,Out-of-state,16300.0
502751,"Rock, Brian",In-state,1950.0
502751,"Rock, Brian",Out-of-state,500.0
502776,"Velez, Frank Iii",In-state,9237.5
502808,"Chaneyfield Jenkins, Gayle",Undisclosed,0.0
502813,"Bey, Amina",In-state,31565.0
502813,"Bey, Amina",Out-of-state,600.0
502814,"Quiles, Jacqueline",Undisclosed,0.0
502815,"Kelly, Dupre L",In-state,52555.0
502815,"Kelly, Dupre L",Out-of-state,1450.0
502817,"Scott-Rountree Bey Council Crump & Kelly (Baraka, Quiles) Team Baraka 2026",In-state,304416.67
502817,"Scott-Rountree Bey Council Crump & Kelly (Baraka, Quiles) Team Baraka 2026",Out-of-state,21333.33
502828,"Jones, Trenton E",In-state,2552.0
502879,"Kettles, Khalil T",Undisclosed,0.0
502888,"Garner, Tanisha  H",In-state,605.0
502899,"Santiago, Stefanie",In-state,1915.48
502899,"Santiago, Stefanie",Out-of-state,3500.0
502902,"Victor Hinds, Wynnie-Fred",Undisclosed,0.0
502935,Vauss Frederic & Brown Team Irvington Strong 2026,In-state,124650.0
502935,Vauss Frederic & Brown Team Irvington Strong 2026,Out-of-state,15000.0
502949,"Mcgrath, Christine",In-state,31102.07
502949,"Mcgrath, Christine",Out-of-state,5800.0
502953,"Williams, Tammy M",In-state,35530.0
502953,"Williams, Tammy M",Out-of-state,4850.0
503008,"Garcia, Josephine C",In-state,64450.0
503008,"Garcia, Josephine C",Out-of-state,34600.0
503009,"Santana, Vereliz",Undisclosed,0.0
503010,"Childs, Quamid",In-state,500.0
503070,"Desir, Danouchka",Undisclosed,0.0
503071,"Quizhpi, Jennifer",Undisclosed,0.0
503072,Desir & Quizhpi,Undisclosed,0.0
503103,"Council, Hassani K",In-state,8335.0
503117,Save Montclair Schools,In-state,533.13
503354,"Martinez, Jason",Undisclosed,0.0
503394,"Yasin, Abdur R",In-state,33068.0
503394,"Yasin, Abdur R",Out-of-state,6250.0
503401,"James, Lynval H",Undisclosed,0.0
503407,"Rivera, Edden O",Undisclosed,0.0
503419,"Luna, Yolanda",Undisclosed,0.0
503422,"Lebron, Maria E",In-state,4000.01
503422,"Lebron, Maria E",Out-of-state,2500.0
503423,"Klein, Shawn",In-state,68657.27
503423,"Klein, Shawn",Out-of-state,11000.0
503443,"Peppers, Rasheen M",In-state,62050.0
503443,"Peppers, Rasheen M",Out-of-state,7000.0
503445,"Comesanas, Mark",In-state,5650.0
503463,"Anderson, Corey",Undisclosed,0.0
503467,"Watford, Durrell",Undisclosed,0.0
503468,"Ogu, Jude N",Undisclosed,0.0
503470,"Benbow, Syesha",Undisclosed,0.0
503471,"Geffrard, Jordan",Undisclosed,0.0
503472,"Lyon, Audrey",Undisclosed,0.0
503487,"Farrell, John",Undisclosed,0.0
503488,"Gray, Lisa A",Undisclosed,0.0
503489,"Hollaway, Tammy",Undisclosed,0.0
503490,"Peters, Tawheed",Undisclosed,0.0
503529,"Jackson, Latoya",Undisclosed,0.0
503530,"Nivar, Jordy",Undisclosed,0.0
503553,"Quintana, Luis A",In-state,77200.0
503553,"Quintana, Luis A",Out-of-state,24775.0
503581,"Nivar, Jordy",Undisclosed,0.0
503605,"Muhammad, Medinah",In-state,10430.0
503605,"Muhammad, Medinah",Out-of-state,1800.0
503606,"Khanna, Vineeta",Undisclosed,0.0
503627,"Russo, Robert J",In-state,1500.0
503645,Council Childs Comesanas & Nivar Moving Newark Schools Forward 2026,In-state,39250.0
503647,"Docteroff, Michael",Undisclosed,0.0
503648,"Canale, Kathy L",Undisclosed,0.0
503649,Tempesta Docteroff & Canale,In-state,42900.0
503651,"Zall, Beth",Undisclosed,0.0
503652,"Brazell, William",Undisclosed,0.0
503653,Zall & Brazell,In-state,3800.0
503653,Zall & Brazell,Out-of-state,660.0
503677,"Wells, Danyale P",In-state,6505.139999999999
503679,"Hendy, Jackie",In-state,5425.0
503679,"Hendy, Jackie",Out-of-state,700.0
503680,"Salters, Debra L",Undisclosed,0.0
503681,"Davis, Douglas R",Out-of-state,250.0
503682,"Milton, Noble D",Undisclosed,0.0
503683,"Singleton, Nasheedah S",In-state,100.0
503684,"Hinnant, Joanette",In-state,4621.0
