CandidateID,Candidate, Contributor Name,Total Contributions
437001,"Melham, Michael A",Ibew,10100.0
437063,"Vauss, Anthony",Engineers Political Education Committee,5000.0
437063,"Vauss, Anthony",Irvington Fire Officers Local 2004,4500.0
437063,"Vauss, Anthony",Local 68 Iuoe PAC,1700.0
437063,"Vauss, Anthony",Njea PAC,500.0
437063,"Vauss, Anthony",Firemens Mutual Benevolent,500.0
438228,"Ramos, Anibal Jr",Greater New Jersey Carpenters Pec,17300.0
438228,"Ramos, Anibal Jr",Heavy And General Construction Laborers Union Loca L 472 PAC,10000.0
438228,"Ramos, Anibal Jr",New Jersey State Laborers' PAC,7600.0
438228,"Ramos, Anibal Jr",Newark Superior Officers Association PAC,3300.0
438228,"Ramos, Anibal Jr",International Longshoremen'S Association Pec,3000.0
438228,"Ramos, Anibal Jr",Operating Engineers Local 825 PAC,2500.0
438228,"Ramos, Anibal Jr",Connell Foley PAC,2500.0
438228,"Ramos, Anibal Jr",Steamfitters Local Union No. 475 PAC,2000.0
438228,"Ramos, Anibal Jr",Local 102 PAC,800.0
438228,"Ramos, Anibal Jr",Steam Fitters Local Union No. 475 PAC,500.0
438228,"Ramos, Anibal Jr",New Jersey For Our Future PAC,500.0
438228,"Ramos, Anibal Jr","United Airlines, Inc. PAC",250.0
441758,Frederic Brown & Evans (Hudley) Team Irvington Strong,Irvington Policemen'S Benevolent Assoc. Local 29,9000.0
441758,Frederic Brown & Evans (Hudley) Team Irvington Strong,Firemens Mutual Benevolent Assoc Of,5000.0
441758,Frederic Brown & Evans (Hudley) Team Irvington Strong,Fireman'S Mutual Benevolent Assoc Local 14,5000.0
441758,Frederic Brown & Evans (Hudley) Team Irvington Strong,Engineers Political Education Committee,4000.0
441758,Frederic Brown & Evans (Hudley) Team Irvington Strong,Irvington Fire Officers,2200.0
442017,"Crump, Cecil Lawrence",New Jersey State Laborers',5500.0
442017,"Crump, Cecil Lawrence",Newark Superior Officers' Association,1000.0
442017,"Crump, Cecil Lawrence",Ibew PAC Educational Fund,1000.0
442017,"Crump, Cecil Lawrence",Local 68 Iuoe,800.0
442017,"Crump, Cecil Lawrence","United Airlines, Inc",500.0
442017,"Crump, Cecil Lawrence",Superior Officers' Association Of Newark New Jerse Y,250.0
442017,"Crump, Cecil Lawrence",Newark Fire Officers Union,250.0
442017,"Crump, Cecil Lawrence",Casa Political Action Committe,250.0
442150,"Spango, James R",Connel Foley PAC,9000.0
442150,"Spango, James R",International Longshoremen'S Association PAC,3850.0
442150,"Spango, James R",Local 68 Iuoe PAC,300.0
447217,"Silva, Michael J",Heavy And General Construction Laborers Union 472  PAC,13000.0
447217,"Silva, Michael J",Operating Engineers Local 825,2500.0
447217,"Silva, Michael J",Newark Firemans Union Of Nj,2250.0
447217,"Silva, Michael J",Newark Soa PAC,2000.0
447217,"Silva, Michael J",Greater Nj Carpenters PAC,1000.0
447217,"Silva, Michael J",Connel Foley PAC,780.0
447217,"Silva, Michael J",Teachers Union Local 481,500.0
447717,"Baraka, Ras J",Engineers Political Education Committee,5000.0
447717,"Baraka, Ras J",Local 617 Cope Committee,3000.0
447717,"Baraka, Ras J",Newark Firemens Union Of New Jersey,2500.0
447717,"Baraka, Ras J",Nj State Laborers' Liuna,1500.0
447717,"Baraka, Ras J",New Jersey League Of Conservation Voters PAC,1500.0
447717,"Baraka, Ras J",Newark Fire Officers Union,1425.0
447717,"Baraka, Ras J",Newark Teachers Union Local 481,1000.0
447717,"Baraka, Ras J","United Airlines, Inc. PAC",900.0
447717,"Baraka, Ras J",Local 68 Iuoe PAC,600.0
447717,"Baraka, Ras J",Casa Political Action Committee,500.0
459513,"Richardson, Wayne",Nj State Laborers PAC,17300.0
459513,"Richardson, Wayne",Heavy And General Construction Laborers Union Loca L 472 PAC,17300.0
459513,"Richardson, Wayne",Ibew PAC Educational Fund,5250.0
459513,"Richardson, Wayne",Greater Nj Carpenters Pec,5000.0
459513,"Richardson, Wayne",32Bj United Adf,3500.0
459513,"Richardson, Wayne",Ila Local 1233 Assoc,2500.0
459513,"Richardson, Wayne",Newark Teachers Union Local 481,2000.0
459513,"Richardson, Wayne",Cwa Nj Political Education Committee,2000.0
459513,"Richardson, Wayne",Cwa Local 1037 - 527 Account,2000.0
459513,"Richardson, Wayne",Nj Teachers Union Local 481,1000.0
459513,"Richardson, Wayne",Mason Tenders Dc Of Greater Ny PAC,1000.0
459513,"Richardson, Wayne",Local 1233,1000.0
