CandidateID,Candidate,State,Amount
441534,"Carroll, Cornelius J",CO,500.0
441534,"Carroll, Cornelius J",DC,250.0
441534,"Carroll, Cornelius J",NJ,37975.0
441534,"Carroll, Cornelius J",NY,200.0
441534,"Carroll, Cornelius J",VA,500.0
441914,"Davis, James",CO,1000.0
441914,"Davis, James",DC,2300.0
441914,"Davis, James",FL,1800.0
441914,"Davis, James",MI,2500.0
441914,"Davis, James",NJ,212575.0
441914,"Davis, James",NY,11548.0
441914,"Davis, James",PA,4800.0
446421,"Perez, Juan  M",CO,2500.0
446421,"Perez, Juan  M",DC,125.0
446421,"Perez, Juan  M",MI,250.0
446421,"Perez, Juan  M",NJ,48300.0
446421,"Perez, Juan  M",NY,2875.0
446421,"Perez, Juan  M",PA,1875.0
446426,"La Pelusa, Gary Sr",CO,2000.0
446426,"La Pelusa, Gary Sr",DC,500.0
446426,"La Pelusa, Gary Sr",FL,150.0
446426,"La Pelusa, Gary Sr",NJ,103623.99
446426,"La Pelusa, Gary Sr",NY,3022.0
446426,"La Pelusa, Gary Sr",PA,1250.0
459096,"Booker, Loyad",CO,5500.0
459096,"Booker, Loyad",FL,1800.0
459096,"Booker, Loyad",NJ,76750.0
459096,"Booker, Loyad",NY,1250.0
459096,"Booker, Loyad",PA,1125.0
459284,"Baselice, Robert P",NJ,78550.0
459966,"O'Dea, William",CO,1000.0
459966,"O'Dea, William",FL,1500.0
459966,"O'Dea, William",NJ,71389.0
459966,"O'Dea, William",NY,3900.0
459974,"Kopacz, Kenneth",CO,1000.0
459974,"Kopacz, Kenneth",MD,2500.0
459974,"Kopacz, Kenneth",MS,300.0
459974,"Kopacz, Kenneth",NC,1000.0
459974,"Kopacz, Kenneth",NJ,188850.0
459974,"Kopacz, Kenneth",NY,1000.0
459974,"Kopacz, Kenneth",PA,1300.0
460816,"Romano, Anthony L Jr",CO,500.0
460816,"Romano, Anthony L Jr",DC,500.0
460816,"Romano, Anthony L Jr",NJ,94900.87
460816,"Romano, Anthony L Jr",NY,1550.0
460816,"Romano, Anthony L Jr",PA,2600.0
461382,"Fife, James A",NH,400.0
461382,"Fife, James A",NJ,47605.0
465816,"Weimmer, Jacqueline",NJ,79778.94
465816,"Weimmer, Jacqueline",NY,875.0
465816,"Weimmer, Jacqueline",PA,875.0
466037,Turner Silvestri-Erhet Curtis & Sosa,DC,500.0
466037,Turner Silvestri-Erhet Curtis & Sosa,NJ,176000.0
466037,Turner Silvestri-Erhet Curtis & Sosa,NY,2000.0
466308,"Rodriguez, Caridad",NJ,23000.0
466308,"Rodriguez, Caridad",NY,600.0
466348,"Aponte-Lipski, Yraida",NJ,11150.0
502634,"Ashe Nadrowski, Sharon",FL,10000.0
502634,"Ashe Nadrowski, Sharon",MD,2750.0
502634,"Ashe Nadrowski, Sharon",NC,250.0
502634,"Ashe Nadrowski, Sharon",NJ,215386.0
502634,"Ashe Nadrowski, Sharon",NV,100.0
502634,"Ashe Nadrowski, Sharon",NY,1250.0
502634,"Ashe Nadrowski, Sharon",PA,5000.0
502790,"Sabry Guirgis, David",DC,0.0
502790,"Sabry Guirgis, David",IL,250.0
502790,"Sabry Guirgis, David",MI,500.0
502790,"Sabry Guirgis, David",NJ,2112.51
502790,"Sabry Guirgis, David",NY,2250.0
502790,"Sabry Guirgis, David",WA,250.0
502820,"Theodoropoulos, Stathis",NJ,3100.0
502842,Perry Bottino Salama Godesky & Gillen Team Sharon Cte,FL,900.0
502842,Perry Bottino Salama Godesky & Gillen Team Sharon Cte,NJ,148200.0
502876,"Elgarhi, Omar",NJ,30565.0
502893,"Gullace, Salvatore",NJ,10000.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,CO,7500.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,NC,500.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,NJ,101572.31
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,NY,250.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,PA,490.0
503109,Stack Martinetti Grullon Fernandez & Valdivia,CO,1000.0
503109,Stack Martinetti Grullon Fernandez & Valdivia,FL,7610.0
503109,Stack Martinetti Grullon Fernandez & Valdivia,MA,25000.0
503109,Stack Martinetti Grullon Fernandez & Valdivia,NJ,399490.93
503109,Stack Martinetti Grullon Fernandez & Valdivia,NY,7500.0
503109,Stack Martinetti Grullon Fernandez & Valdivia,PA,26800.0
503109,Stack Martinetti Grullon Fernandez & Valdivia,RI,25000.0
503124,"Ekladious, Mina",IL,500.0
503124,"Ekladious, Mina",NJ,38600.0
503124,"Ekladious, Mina",NY,1000.0
503124,"Ekladious, Mina",PA,2700.0
503165,"Dublin, Jeffrey",NJ,27020.0
503444,"Valdez, Alex",MA,250.0
503444,"Valdez, Alex",NJ,27239.25
503444,"Valdez, Alex",NV,250.0
503444,"Valdez, Alex",NY,550.0
503458,Desmond Acosta Fiermonte & Lavelle,NJ,50363.71
503536,"Bautista, Ronald",NJ,27447.0
503536,"Bautista, Ronald",NY,4050.0
503573,Zapata Solano Bonilla & Theodoropoulos,NJ,24057.1
503573,Zapata Solano Bonilla & Theodoropoulos,PA,1000.0
503579,"Johnson, Pam",NJ,4587.0
504234,"Bennett, Lawrence M",FL,1000.0
504234,"Bennett, Lawrence M",NJ,16146.01
504234,"Bennett, Lawrence M",NY,1000.0
504234,"Bennett, Lawrence M",PA,500.0
