CandidateID,Candidate,Contributor Type,Total Contributions,Number of Contributions
441534,"Carroll, Cornelius J",(Unknown),1300.0,4
441534,"Carroll, Cornelius J",Business/Corp,4500.0,14
441534,"Carroll, Cornelius J",Candidate Committee,1900.0,4
441534,"Carroll, Cornelius J",Individual,27075.0,125
441534,"Carroll, Cornelius J",Union,650.0,3
441534,"Carroll, Cornelius J",Union PAC,4000.0,7
441914,"Davis, James",(Unknown),900.0,2
441914,"Davis, James",Business/Corp,35250.0,57
441914,"Davis, James",Candidate Committee,1325.0,4
441914,"Davis, James",Individual,165023.0,471
441914,"Davis, James",Political Party Cmte,4750.0,4
441914,"Davis, James",Professional PAC,1625.0,3
441914,"Davis, James",Union,17350.0,27
441914,"Davis, James",Union PAC,13200.0,15
446421,"Perez, Juan  M",(Unknown),425.0,2
446421,"Perez, Juan  M",Business/Corp,7725.0,20
446421,"Perez, Juan  M",Individual,39150.0,92
446421,"Perez, Juan  M",Professional PAC,375.0,1
446421,"Perez, Juan  M",Union,4250.0,8
446421,"Perez, Juan  M",Union PAC,5250.0,10
446426,"La Pelusa, Gary Sr",(Unknown),3650.0,8
446426,"La Pelusa, Gary Sr",Business/Corp,24050.0,46
446426,"La Pelusa, Gary Sr",Candidate Committee,1250.0,3
446426,"La Pelusa, Gary Sr",Individual,76669.0,226
446426,"La Pelusa, Gary Sr",Union,1800.0,5
446426,"La Pelusa, Gary Sr",Union PAC,5000.0,5
448965,"Gerbasio, John",(Unknown),0.0,0
448966,"Tringali, Orietta",(Unknown),0.0,0
448967,"Clancy, James",(Unknown),0.0,0
448968,Gerbasio Tringali & Clancy,(Unknown),0.0,0
459096,"Booker, Loyad",(Unknown),12250.0,6
459096,"Booker, Loyad",Business/Corp,18950.0,12
459096,"Booker, Loyad",Candidate Committee,1600.0,2
459096,"Booker, Loyad",Individual,52875.0,79
459096,"Booker, Loyad",Union,1000.0,2
459284,"Baselice, Robert P",(Unknown),0.0,0
459284,"Baselice, Robert P",Business/Corp,20250.0,14
459284,"Baselice, Robert P",Individual,60300.0,51
459284,"Baselice, Robert P",Union,2000.0,2
459284,"Baselice, Robert P",Union PAC,3000.0,3
459966,"O'Dea, William",(Unknown),750.0,1
459966,"O'Dea, William",Business/Corp,5575.0,10
459966,"O'Dea, William",Candidate Committee,250.0,1
459966,"O'Dea, William",Individual,36677.0,69
459966,"O'Dea, William",Legislative Leadership Cmte,1000.0,1
459966,"O'Dea, William",Union,15037.0,8
459966,"O'Dea, William",Union PAC,19500.0,9
459974,"Kopacz, Kenneth",(Unknown),450.0,2
459974,"Kopacz, Kenneth",Business/Corp,26900.0,39
459974,"Kopacz, Kenneth",Candidate Committee,8500.0,12
459974,"Kopacz, Kenneth",Individual,123450.0,354
459974,"Kopacz, Kenneth",Political Cmte,3700.0,5
459974,"Kopacz, Kenneth",Trade Association PAC,4000.0,4
459974,"Kopacz, Kenneth",Union,16950.0,21
459974,"Kopacz, Kenneth",Union PAC,14600.0,20
460816,"Romano, Anthony L Jr",Business/Corp,13000.0,24
460816,"Romano, Anthony L Jr",Candidate Committee,13151.0,1
460816,"Romano, Anthony L Jr",Individual,53850.0,88
460816,"Romano, Anthony L Jr",Professional PAC,2000.0,2
460816,"Romano, Anthony L Jr",Union,1750.0,3
460816,"Romano, Anthony L Jr",Union PAC,16300.0,15
461382,"Fife, James A",(Unknown),4200.0,7
461382,"Fife, James A",Business/Corp,4400.0,7
461382,"Fife, James A",Individual,38755.0,122
461382,"Fife, James A",Political Cmte,250.0,1
461382,"Fife, James A",Union,900.0,2
465816,"Weimmer, Jacqueline",(Unknown),8586.0,5
465816,"Weimmer, Jacqueline",Business/Corp,10025.0,14
465816,"Weimmer, Jacqueline",Candidate Committee,825.0,4
465816,"Weimmer, Jacqueline",Individual,62991.0,153
465816,"Weimmer, Jacqueline",Interest,2.0,3
465816,"Weimmer, Jacqueline",Political Party Cmte,350.0,2
465816,"Weimmer, Jacqueline",Union,250.0,1
465816,"Weimmer, Jacqueline",Union PAC,1750.0,4
466032,"Turner, Richard F",(Unknown),0.0,0
466033,"Silvestri-Ehret, Carmela",(Unknown),0.0,0
466035,"Curtis, David J",(Unknown),0.0,0
466036,"Sosa, Robert J",(Unknown),0.0,0
466037,Turner Silvestri-Erhet Curtis & Sosa,Business/Corp,85500.0,63
466037,Turner Silvestri-Erhet Curtis & Sosa,Candidate Committee,12000.0,4
466037,Turner Silvestri-Erhet Curtis & Sosa,Individual,84000.0,110
466308,"Rodriguez, Caridad",(Unknown),0.0,0
466308,"Rodriguez, Caridad",Individual,23600.0,59
466348,"Aponte-Lipski, Yraida",(Unknown),1000.0,1
466348,"Aponte-Lipski, Yraida",Business/Corp,500.0,1
466348,"Aponte-Lipski, Yraida",Candidate Committee,750.0,1
466348,"Aponte-Lipski, Yraida",Individual,8200.0,22
466348,"Aponte-Lipski, Yraida",Union PAC,1000.0,1
475396,"Ghainda, Adrian",(Unknown),0.0,0
481744,"Lucarelli, Lance",(Unknown),0.0,0
481935,"Theodoropoulos, Stathis",(Unknown),0.0,0
481935,"Theodoropoulos, Stathis",Business/Corp,3100.0,1
502634,"Ashe Nadrowski, Sharon",(Unknown),10000.0,2
502634,"Ashe Nadrowski, Sharon",Business/Corp,37601.0,21
502634,"Ashe Nadrowski, Sharon",Candidate Committee,5500.0,1
502634,"Ashe Nadrowski, Sharon",Individual,161085.0,312
502634,"Ashe Nadrowski, Sharon",Legislative Leadership Cmte,1000.0,1
502634,"Ashe Nadrowski, Sharon",Union,13000.0,8
502634,"Ashe Nadrowski, Sharon",Union PAC,12500.0,4
502755,"Walker, Erica",(Unknown),0.0,0
502790,"Sabry Guirgis, David",Individual,5963.0,29
502840,"Perry, Gene E",(Unknown),0.0,0
502841,"Bottino, Mark A",(Unknown),0.0,0
502842,Perry Bottino Salama Godesky & Gillen Team Sharon Cte,Business/Corp,32750.0,6
502842,Perry Bottino Salama Godesky & Gillen Team Sharon Cte,Candidate Committee,10000.0,2
502842,Perry Bottino Salama Godesky & Gillen Team Sharon Cte,Individual,95100.0,36
502842,Perry Bottino Salama Godesky & Gillen Team Sharon Cte,Union PAC,11250.0,5
502876,"Elgarhi, Omar",Individual,31065.0,22
502893,"Gullace, Salvatore",Individual,10000.0,1
502937,"Salama, Mariam",(Unknown),0.0,0
502938,"Godesky-Rodriguez, Melissa",(Unknown),0.0,0
503034,"Eniquez-Rada, Melissa",(Unknown),0.0,0
503035,"Veloz, Ramon",(Unknown),0.0,0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,(Unknown),1250.0,2
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,Business/Corp,21450.0,14
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,Candidate Committee,28049.0,15
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,Individual,60563.0,73
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,Union,500.0,1
503104,"Stack, Brian P",(Unknown),0.0,0
503105,"Martinetti, Maryury A",(Unknown),0.0,0
503106,"Grullon, Wendy A",(Unknown),0.0,0
503107,"Fernandez, Lucio P",(Unknown),0.0,0
503108,"Valdivia, Celin J",(Unknown),0.0,0
503109,Stack Martinetti Grullon Fernandez & Valdivia,Business/Corp,124990.0,34
503109,Stack Martinetti Grullon Fernandez & Valdivia,Ideological Assoc/ PAC,1000.0,1
503109,Stack Martinetti Grullon Fernandez & Valdivia,Individual,282410.0,149
503109,Stack Martinetti Grullon Fernandez & Valdivia,Interest,1.0,2
503109,Stack Martinetti Grullon Fernandez & Valdivia,Political Cmte,81000.0,4
503109,Stack Martinetti Grullon Fernandez & Valdivia,Trade Association PAC,1000.0,1
503109,Stack Martinetti Grullon Fernandez & Valdivia,Union,2000.0,2
503124,"Ekladious, Mina",(Unknown),500.0,1
