CandidateID,Candidate,ContributorName,Total Contributions
441534,"Carroll, Cornelius J",Sicilian Citizen'S Club Inc,1000.0
441534,"Carroll, Cornelius J","Waters, Mcpherson, Mcneill Pc",750.0
441534,"Carroll, Cornelius J",Alphadog Solutions Inc,700.0
441534,"Carroll, Cornelius J","Waters, Mcpherson, Mcneill, Pc",500.0
441534,"Carroll, Cornelius J",Trilon Services C-Corp Holdings Inc,500.0
441534,"Carroll, Cornelius J",Remington & Vernick Engineers,300.0
441534,"Carroll, Cornelius J",M & R'S Miller Auto Gear & Parts Inc,250.0
441534,"Carroll, Cornelius J",Krivit & Krivit Pc,250.0
441534,"Carroll, Cornelius J",Harrington Service Dmc Inc,150.0
441534,"Carroll, Cornelius J",Chasan Lamparello Mallon & Cappuzzo Pc,100.0
441914,"Davis, James",Brr Corporation,5200.0
441914,"Davis, James","Waters, Mcpherson And Ncneill Pc",3000.0
441914,"Davis, James",Waggoner Engineering Inc,2500.0
441914,"Davis, James","Chasan, Lamparello, Mallon & Cappuzzo Pc",2000.0
441914,"Davis, James",Hudson Plaza Motel Inc,1550.0
441914,"Davis, James",Remington & Vernick Engineers,1500.0
441914,"Davis, James",Bayonne Drydock & Repair Corp,1500.0
441914,"Davis, James",Accem Warehouse Inc,1500.0
441914,"Davis, James","Waters, Mcpherson, Mcneill, Pc",1100.0
441914,"Davis, James",Dal Design Group Pc,1050.0
441914,"Davis, James",Trilon Services Corp,1000.0
441914,"Davis, James",Londontown Inc,1000.0
441914,"Davis, James",Krivit And Krivit Pc,1000.0
441914,"Davis, James",Chasan Lamparello Mallon & Cappuzzo Pc,1000.0
441914,"Davis, James",Krivit & Krivit Pc,800.0
441914,"Davis, James",Alphadog Solutions Inc,800.0
441914,"Davis, James",Sicilian Citizen'S Club Inc,700.0
441914,"Davis, James",Teitel Inc,600.0
441914,"Davis, James",Ald Realty Inc,600.0
441914,"Davis, James",Velios Capital Corp,500.0
441914,"Davis, James",Municipal Inspection Corp,500.0
441914,"Davis, James",Moa Inc,500.0
441914,"Davis, James",Johnston Gp Inc,500.0
441914,"Davis, James",Archer & Greiner Pc,500.0
441914,"Davis, James",Archer & Geiner,500.0
441914,"Davis, James",Sucato & Associates Inc,300.0
441914,"Davis, James",Russell'S Auto Body Inc,300.0
441914,"Davis, James",Royal Wine Corp,300.0
441914,"Davis, James",Municipal Inspection Corporation,300.0
441914,"Davis, James",M & R Miller Auto Gear & Parts Co Inc,300.0
441914,"Davis, James",Cm Mechanical,300.0
441914,"Davis, James",Burnett Electric Inc,300.0
441914,"Davis, James",Borker Transmission Service Inc,300.0
441914,"Davis, James",Ap & G Inc,300.0
441914,"Davis, James",Alpha Dog Solutions Inc,300.0
441914,"Davis, James",Vinnie & Richie Inc,250.0
441914,"Davis, James",Dante Construction Co,150.0
441914,"Davis, James","Appruzzese, Mcdermott, Mastro & Murphy Pc",150.0
441914,"Davis, James",Apk Electric Inc Dba Wolenski Electric,150.0
446421,"Perez, Juan  M",Trilon Services C-Corp Holdings Inc,2000.0
446421,"Perez, Juan  M",Brr Corp,1500.0
446421,"Perez, Juan  M","Waters, Mcpherson, Mcneill, Pc",500.0
446421,"Perez, Juan  M",Trilon Services C-Corp Holings Inc,500.0
446421,"Perez, Juan  M",Sicilian Citizen'S Club Inc,500.0
446421,"Perez, Juan  M",Center State Engineering,500.0
446421,"Perez, Juan  M",Advance Together PAC Inc,350.0
446421,"Perez, Juan  M",Waggoner Engineering Inc,250.0
446421,"Perez, Juan  M","Universal Dojo Of Self Defense, Inc",250.0
446421,"Perez, Juan  M",Londontown Inc,250.0
446421,"Perez, Juan  M","Dal Design Group, Pc",250.0
446421,"Perez, Juan  M",Borker Transmission Service Inc,250.0
446421,"Perez, Juan  M",A L D Realty Inc,250.0
446421,"Perez, Juan  M",Krivit & Krivit Pc,125.0
446426,"La Pelusa, Gary Sr",William Guarini Inc,2500.0
446426,"La Pelusa, Gary Sr",Bayonne Bbq And More Corp,2500.0
446426,"La Pelusa, Gary Sr",A-1 Carma Inc,2500.0
446426,"La Pelusa, Gary Sr","William J. Guarini, Inc",2250.0
446426,"La Pelusa, Gary Sr",Brr Corporation,2000.0
446426,"La Pelusa, Gary Sr",Trilon Services C Corp Holdings Inc,1500.0
446426,"La Pelusa, Gary Sr",Londontown Inc,750.0
446426,"La Pelusa, Gary Sr",Center State Engineering,600.0
446426,"La Pelusa, Gary Sr",Trilon Services C-Corp Holdings Inc,500.0
446426,"La Pelusa, Gary Sr",T And J Auto Laundry Inc,500.0
446426,"La Pelusa, Gary Sr",Remington & Vernick Engineers,500.0
446426,"La Pelusa, Gary Sr",D&M Food Corp Dba Ctown Supermarket,500.0
446426,"La Pelusa, Gary Sr",Vinnie & Richie Inc,450.0
446426,"La Pelusa, Gary Sr",Sicilian Citizens Club Inc,375.0
446426,"La Pelusa, Gary Sr",Bayonne Durable Construction Co Inc,375.0
446426,"La Pelusa, Gary Sr","Waters Mcpherson Mcneill, Pc",300.0
446426,"La Pelusa, Gary Sr",Sicilian Citizen'S Club Inc,300.0
446426,"La Pelusa, Gary Sr",Russell'S Auto Body Inc,300.0
446426,"La Pelusa, Gary Sr","M & R'S Miller Auto Gear & Parts, Inc",300.0
446426,"La Pelusa, Gary Sr",M & R Miller Auto Gear And Parts Inc,300.0
446426,"La Pelusa, Gary Sr",Dal Design Group Pc,300.0
