,Location,Office,Total Contributions
0,Bayonne City,Joint Candidates Cmte,316901.0
1,Bayonne City,Mayor,566784.0
2,Bayonne City,Municipal Office,334863.0
3,Bayonne City,School Board,0.0
4,East Newark Borough,Joint Candidates Cmte,0.0
5,East Newark Borough,Municipal Office,0.0
6,East Newark Borough,School Board,0.0
7,Guttenberg Town,Municipal Office,0.0
8,Guttenberg Town,School Board,0.0
9,Harrison Town,Mayor,48505.0
10,Harrison Town,Municipal Office,0.0
11,Hoboken City,School Board,0.0
12,Hudson County,County Commissioner,635222.0
13,Hudson County,County Registrar Of Deeds,27975.0
14,Jersey City,Joint Candidates Cmte,0.0
15,Jersey City,School Board,0.0
16,Kearny Town,Joint Candidates Cmte,25057.0
17,Kearny Town,Municipal Office,3100.0
18,Kearny Town,School Board,0.0
19,North Bergen Township,Joint Candidates Cmte,0.0
20,North Bergen Township,School Board,0.0
21,Secaucus Town,Joint Candidates Cmte,0.0
22,Secaucus Town,Municipal Office,0.0
23,Secaucus Town,School Board,0.0
24,Union City,Joint Candidates Cmte,492401.0
25,Union City,Municipal Office,0.0
26,Weehawken Township,Joint Candidates Cmte,181500.0
27,Weehawken Township,Municipal Office,0.0
28,Weehawken Township,School Board,0.0
29,West New York Township,School Board,0.0
