CandidateID,Candidate,Location,Office,Total Contributions
441534,"Carroll, Cornelius J",Bayonne City,Municipal Office,39425.0
441914,"Davis, James",Bayonne City,Mayor,236523.0
446421,"Perez, Juan  M",Bayonne City,Municipal Office,55925.0
446426,"La Pelusa, Gary Sr",Bayonne City,Municipal Office,110546.0
448965,"Gerbasio, John",Secaucus Town,Municipal Office,0.0
448966,"Tringali, Orietta",Secaucus Town,Municipal Office,0.0
448967,"Clancy, James",Secaucus Town,Municipal Office,0.0
448968,Gerbasio Tringali & Clancy,Secaucus Town,Joint Candidates Cmte,0.0
459096,"Booker, Loyad",Bayonne City,Mayor,86425.0
459284,"Baselice, Robert P",Hudson County,County Commissioner,78550.0
459966,"O'Dea, William",Hudson County,County Commissioner,77789.0
459974,"Kopacz, Kenneth",Hudson County,County Commissioner,195950.0
460816,"Romano, Anthony L Jr",Hudson County,County Commissioner,100051.0
461382,"Fife, James A",Harrison Town,Mayor,48005.0
465816,"Weimmer, Jacqueline",Bayonne City,Municipal Office,81529.0
466032,"Turner, Richard F",Weehawken Township,Municipal Office,0.0
466033,"Silvestri-Ehret, Carmela",Weehawken Township,Municipal Office,0.0
466035,"Curtis, David J",Weehawken Township,Municipal Office,0.0
466036,"Sosa, Robert J",Weehawken Township,Municipal Office,0.0
466037,Turner Silvestri-Erhet Curtis & Sosa,Weehawken Township,Joint Candidates Cmte,178500.0
466308,"Rodriguez, Caridad",Hudson County,County Commissioner,23600.0
466348,"Aponte-Lipski, Yraida",Hudson County,County Commissioner,11150.0
475396,"Ghainda, Adrian",Hudson County,County Commissioner,0.0
481744,"Lucarelli, Lance",Bayonne City,Mayor,0.0
502634,"Ashe Nadrowski, Sharon",Bayonne City,Mayor,234736.0
502755,"Walker, Erica",Hudson County,County Commissioner,0.0
502790,"Sabry Guirgis, David",Hudson County,County Commissioner,5363.0
502820,"Theodoropoulos, Stathis",Kearny Town,Municipal Office,3100.0
502840,"Perry, Gene E",Bayonne City,Municipal Office,0.0
502841,"Bottino, Mark A",Bayonne City,Municipal Office,0.0
502842,Perry Bottino Salama Godesky & Gillen Team Sharon Cte,Bayonne City,Joint Candidates Cmte,149100.0
502876,"Elgarhi, Omar",Bayonne City,Municipal Office,30565.0
502893,"Gullace, Salvatore",Bayonne City,Municipal Office,10000.0
502937,"Salama, Mariam",Bayonne City,Municipal Office,0.0
502938,"Godesky-Rodriguez, Melissa",Bayonne City,Municipal Office,0.0
503034,"Eniquez-Rada, Melissa",Bayonne City,Municipal Office,0.0
503035,"Veloz, Ramon",Bayonne City,Municipal Office,0.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,Bayonne City,Joint Candidates Cmte,110312.0
503104,"Stack, Brian P",Union City,Municipal Office,0.0
503105,"Martinetti, Maryury A",Union City,Municipal Office,0.0
503106,"Grullon, Wendy A",Union City,Municipal Office,0.0
503107,"Fernandez, Lucio P",Union City,Municipal Office,0.0
503108,"Valdivia, Celin J",Union City,Municipal Office,0.0
503109,Stack Martinetti Grullon Fernandez & Valdivia,Union City,Joint Candidates Cmte,492401.0
503124,"Ekladious, Mina",Hudson County,County Commissioner,42800.0
503165,"Dublin, Jeffrey",Hudson County,County Registrar Of Deeds,27020.0
503283,"Gillen, Thomas",Bayonne City,Municipal Office,0.0
503444,"Valdez, Alex",Hudson County,County Commissioner,28289.0
503454,"Desmond, Mary Jane",Bayonne City,Mayor,0.0
503455,"Acosta, Anthony",Bayonne City,Municipal Office,0.0
503456,"Fiermonte, Karen",Bayonne City,Municipal Office,0.0
503457,"Lavelle, Dawn",Bayonne City,Municipal Office,0.0
503458,Desmond Acosta Fiermonte & Lavelle,Bayonne City,Joint Candidates Cmte,50364.0
503499,"Hector, Lorgia",North Bergen Township,School Board,0.0
503500,"Jimenez, Karina",North Bergen Township,School Board,0.0
503501,"Patel, Kanaiyalal",North Bergen Township,School Board,0.0
503536,"Bautista, Ronald",Hudson County,County Commissioner,31497.0
503558,"Sebik, John Milan",Bayonne City,Municipal Office,0.0
503570,"Zapata, George",Kearny Town,Municipal Office,0.0
503571,"Solano, Dennis",Kearny Town,Municipal Office,0.0
503572,"Bonilla, Sarah",Kearny Town,Municipal Office,0.0
503573,Zapata Solano Bonilla & Theodoropoulos,Kearny Town,Joint Candidates Cmte,25057.0
503579,"Johnson, Pam",Hudson County,County Commissioner,4587.0
503610,"Cannata, John",Weehawken Township,School Board,0.0
503611,"Cabrera, Linda",Weehawken Township,School Board,0.0
503612,"Pinal, Richard",Weehawken Township,School Board,0.0
503613,"Codina, Henry",West New York Township,School Board,0.0
503614,"Jover, Aylen",West New York Township,School Board,0.0
503615,"Pfeil, Sandra",West New York Township,School Board,0.0
503623,"Morales-Jennings, Susan",Weehawken Township,Municipal Office,0.0
503624,"Iordamlis, Tina",Weehawken Township,Municipal Office,0.0
503630,"Ritorto, Dominick",Harrison Town,Mayor,0.0
503746,"Pearl, Jim",Bayonne City,Municipal Office,0.0
503747,"Devaney, Patrick Sr",Bayonne City,Municipal Office,0.0
503783,"Verile, Michael P",Harrison Town,Municipal Office,0.0
503989,"Cedeno, Fanny",Hudson County,County Commissioner,0.0
504232,"Alexander, Melissa",Hudson County,County Registrar Of Deeds,0.0
504233,"Raza, Qamar",Hudson County,County Registrar Of Deeds,0.0
504234,"Bennett, Lawrence M",Hudson County,County Commissioner,18646.0
504235,"Gopalak, Anmol",Hudson County,County Commissioner,0.0
504236,"De Oliveira, Acacio",East Newark Borough,Municipal Office,0.0
504237,"Zincavage, Jeanne",East Newark Borough,Municipal Office,0.0
504238,"Malave, Juana",Guttenberg Town,Municipal Office,0.0
504239,"Huaranga, Jesus R",Harrison Town,Municipal Office,0.0
504240,"Diaco, Joseph",Harrison Town,Municipal Office,0.0
504241,"Woods, James T",Harrison Town,Municipal Office,0.0
504242,"Doran, James P",Harrison Town,Municipal Office,0.0
504243,"Balcazar, Zayda",Kearny Town,Municipal Office,0.0
504244,"Huancaya, Julio",Kearny Town,Municipal Office,0.0
504245,"Miranda, Orlando",Kearny Town,Municipal Office,0.0
504246,"Hokien, William",Guttenberg Town,Municipal Office,0.0
504247,"Shea, Edmund J",Kearny Town,Municipal Office,0.0
505051,Hector Jimenez & Patel,North Bergen Township,Joint Candidates Cmte,0.0
505315,"Manuel, Emily",Weehawken Township,Municipal Office,0.0
505544,"Godesky-Rodriguez, Melissa",Bayonne City,Municipal Office,0.0
505589,Zincavage & De Oliveira,East Newark Borough,Joint Candidates Cmte,0.0
505610,"Gillen, Tommy",Bayonne City,Municipal Office,0.0
505637,"Weiner, Aaron",Hudson County,County Commissioner,0.0
507214,"Raza, Qamar",Hudson County,County Registrar Of Deeds,0.0
507219,"Cedeno, Fanny",Hudson County,County Commissioner,0.0
507223,"Gopalak, Anmol",Hudson County,County Commissioner,0.0
507224,"De Oliveira, Acacio",East Newark Borough,Municipal Office,0.0
507225,"Zincavage, Jeanne",East Newark Borough,Municipal Office,0.0
507226,"Malave, Juana",Guttenberg Town,Municipal Office,0.0
507227,"Hokien, William",Guttenberg Town,Municipal Office,0.0
507229,"Huaranga, Jesus R",Harrison Town,Municipal Office,0.0
507230,"Diaco, Joseph",Harrison Town,Municipal Office,0.0
507231,"Woods, James T",Harrison Town,Municipal Office,0.0
507232,"Doran, James P",Harrison Town,Municipal Office,0.0
507233,"Zapata, George",Kearny Town,Municipal Office,0.0
507234,"Huancaya, Julio",Kearny Town,Municipal Office,0.0
507235,"Bonilla, Sarah",Kearny Town,Municipal Office,0.0
507236,"Bystrowski, Darius",Kearny Town,Municipal Office,0.0
507237,"Miranda, Orlando",Kearny Town,Municipal Office,0.0
507242,"Tehfa, Sukaina",Guttenberg Town,School Board,0.0
507256,"Klich, Amanda",Bayonne City,School Board,0.0
509364,"Kopacz, Robyn",Bayonne City,School Board,0.0
509365,"Cubberly, Scott",Bayonne City,School Board,0.0
509366,"Yacoub, Remonda",Bayonne City,School Board,0.0
509367,"Hladik, John",Bayonne City,School Board,0.0
509368,"Alexander, Melissa",Bayonne City,School Board,0.0
509369,"Santos, Genesis",East Newark Borough,School Board,0.0
509370,"Ditchkus, Lisa",East Newark Borough,School Board,0.0
509371,"Leone, Heather",East Newark Borough,School Board,0.0
509372,"Angley, Sharyn",Hoboken City,School Board,0.0
509373,"Oxman, Adrian",Hoboken City,School Board,0.0
509374,"Dallara, Sheillah",Hoboken City,School Board,0.0
509375,"Waiters, Patricia",Hoboken City,School Board,0.0
509376,"Verdibello, Gina",Jersey City,School Board,0.0
509377,"Taube, Jessica",Jersey City,School Board,0.0
509378,"Williams, Chloe",Jersey City,School Board,0.0
509379,"Walker, Danielle",Jersey City,School Board,0.0
509380,"Patel, Alpa B",Jersey City,School Board,0.0
509381,"Blount, George P",Jersey City,School Board,0.0
509382,"Morris, De'Jon",Jersey City,School Board,0.0
509383,"Rodriguez, Vanessa",Jersey City,School Board,0.0
509384,"Vogt, Julietta",Jersey City,School Board,0.0
509385,"Bahadur, Videsh A",Jersey City,School Board,0.0
509386,"Garcia, Fernando",Jersey City,School Board,0.0
509387,"Masongo, Zebedayo",Jersey City,School Board,0.0
509388,"Paris, Samantha",Kearny Town,School Board,0.0
509389,"Viscuso, Sj Zibbie",Kearny Town,School Board,0.0
509390,"Cifelli-Pettigrew, Laura",Kearny Town,School Board,0.0
509391,"Rodrigues, Ann",Kearny Town,School Board,0.0
509392,"Elliot, Mackenzie",Kearny Town,School Board,0.0
509393,"Graniere, Anthony",Secaucus Town,School Board,0.0
509394,"Nguyen, Katherine",Secaucus Town,School Board,0.0
509395,"Khiry Gerbasio, Dina",Secaucus Town,School Board,0.0
509396,Patel Blount Morris Rodriguez Education Matters,Jersey City,Joint Candidates Cmte,0.0
509500,Taube Verdibello Williams Walker For Stronger School,Jersey City,Joint Candidates Cmte,0.0
