eid,name,location,office_cmte,party,election_type,year,search_location
505177,"BABULA, GREG",BLOOMFIELD TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,BLOOMFIELD TOWN
505178,"BONICA, PAUL",BLOOMFIELD TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,BLOOMFIELD TOWN
505179,"BOOTWALA, STEF",BLOOMFIELD TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,BLOOMFIELD TOWN
473245,"CHARRIS TABARES, MONICA M",BLOOMFIELD TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,BLOOMFIELD TOWN
502672,"CRUZ, SARAH",BLOOMFIELD TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,BLOOMFIELD TOWN
506350,"CRUZ, SARAH",BLOOMFIELD TOWN,MUNICIPAL OFFICE,DEMOCRAT,GENERAL,2026,BLOOMFIELD TOWN
506351,GONZALEZ & CRUZ,BLOOMFIELD TOWN,JOINT CANDIDATES CMTE,DEMOCRAT,GENERAL,2026,BLOOMFIELD TOWN
502673,GONZALEZ MARTINEZ & CRUZ TEAM MUNDELL FOR BLOOMFIELD,BLOOMFIELD TOWN,JOINT CANDIDATES CMTE,DEMOCRAT,PRIMARY,2026,BLOOMFIELD TOWN
502671,"GONZALEZ, ROSALEE",BLOOMFIELD TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,BLOOMFIELD TOWN
506349,"GONZALEZ, ROSALEE",BLOOMFIELD TOWN,MUNICIPAL OFFICE,DEMOCRAT,GENERAL,2026,BLOOMFIELD TOWN
503354,"MARTINEZ, JASON",BLOOMFIELD TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,BLOOMFIELD TOWN
502899,"SANTIAGO, STEFANIE",BLOOMFIELD TOWN,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,BLOOMFIELD TOWN
503992,"ALCORTA, RICARDO",CALDWELL BOROUGH,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,CALDWELL BOROUGH
505184,"BAMBRICK, BRIAN",CALDWELL BOROUGH,MUNICIPAL OFFICE,REPUBLICAN,PRIMARY,2026,CALDWELL BOROUGH
505182,"JONES, GARRETT C",CALDWELL BOROUGH,MAYOR,REPUBLICAN,PRIMARY,2026,CALDWELL BOROUGH
503993,JURGENSEN SAGALOW & ALCORTA,CALDWELL BOROUGH,JOINT CANDIDATES CMTE,DEMOCRAT,PRIMARY,2026,CALDWELL BOROUGH
503990,"JURGENSEN, KENNETH",CALDWELL BOROUGH,MAYOR,DEMOCRAT,PRIMARY,2026,CALDWELL BOROUGH
505183,"POLLARA, ANDREW",CALDWELL BOROUGH,MUNICIPAL OFFICE,REPUBLICAN,PRIMARY,2026,CALDWELL BOROUGH
503991,"SAGALOW, JONATHAN R",CALDWELL BOROUGH,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,CALDWELL BOROUGH
505186,"D`AVELLA, BERNARD J",ESSEX FELLS BOROUGH,MUNICIPAL OFFICE,REPUBLICAN,PRIMARY,2026,ESSEX FELLS BOROUGH
505552,"KING, JOHN",ESSEX FELLS BOROUGH,MUNICIPAL OFFICE,REPUBLICAN,GENERAL,2026,ESSEX FELLS BOROUGH
505185,"KING, JOHN",ESSEX FELLS BOROUGH,MUNICIPAL OFFICE,REPUBLICAN,PRIMARY,2026,ESSEX FELLS BOROUGH
504338,"BURRUS, JULIA",FAIRFIELD TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,FAIRFIELD TOWNSHIP
506683,"BURRUS, JULIA",FAIRFIELD TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,GENERAL,2026,FAIRFIELD TOWNSHIP
473506,"BAPTISTE, RUTH",IRVINGTON TOWNSHIP,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,IRVINGTON TOWNSHIP
503732,BENBOW GEFFARD & LYON,IRVINGTON TOWNSHIP,JOINT CANDIDATES CMTE,NONPARTISAN,SCHOOL BOARD-APRIL,2026,IRVINGTON TOWNSHIP
503470,"BENBOW, SYESHA",IRVINGTON TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,IRVINGTON TOWNSHIP
459043,"BROWN, DARLENE",IRVINGTON TOWNSHIP,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,IRVINGTON TOWNSHIP
503072,DESIR & QUIZHPI,IRVINGTON TOWNSHIP,JOINT CANDIDATES CMTE,NONPARTISAN,MUNICIPAL - MAY,2026,IRVINGTON TOWNSHIP
503070,"DESIR, DANOUCHKA",IRVINGTON TOWNSHIP,MAYOR,NONPARTISAN,MUNICIPAL - MAY,2026,IRVINGTON TOWNSHIP
459044,"EVANS, SEAN",IRVINGTON TOWNSHIP,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,IRVINGTON TOWNSHIP
441758,FREDERIC BROWN & EVANS (HUDLEY) TEAM IRVINGTON STRONG,IRVINGTON TOWNSHIP,JOINT CANDIDATES CMTE,NONPARTISAN,MUNICIPAL - MAY,2026,IRVINGTON TOWNSHIP
441756,"FREDERIC, CHARNETTE",IRVINGTON TOWNSHIP,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,IRVINGTON TOWNSHIP
503471,"GEFFRARD, JORDAN",IRVINGTON TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,IRVINGTON TOWNSHIP
441757,"HUDLEY, OCTOBER",IRVINGTON TOWNSHIP,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,IRVINGTON TOWNSHIP
473508,INMAN BAPTISTE WATFORD & OGU TEAM INMAN 2026,IRVINGTON TOWNSHIP,JOINT CANDIDATES CMTE,NONPARTISAN,MUNICIPAL - MAY,2026,IRVINGTON TOWNSHIP
473507,"INMAN, PAUL",IRVINGTON TOWNSHIP,MAYOR,NONPARTISAN,MUNICIPAL - MAY,2026,IRVINGTON TOWNSHIP
503472,"LYON, AUDREY",IRVINGTON TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,IRVINGTON TOWNSHIP
503468,"OGU, JUDE N",IRVINGTON TOWNSHIP,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,IRVINGTON TOWNSHIP
503760,"ABENSTEIN, STACEY",LIVINGSTON TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,LIVINGSTON TOWNSHIP
503888,"BHUPTANI, KETAN K",LIVINGSTON TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,LIVINGSTON TOWNSHIP
