eid	name	location	office_cmte	party	election_type	year	search_location
503463	ANDERSON, COREY	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
505176	CONTELLA, FRANK	ESSEX COUNTY	COUNTY COMMISSIONER	REPUBLICAN	PRIMARY	2026	ESSEX COUNTY
507891	CONTELLA, FRANK	ESSEX COUNTY	COUNTY COMMISSIONER	REPUBLICAN	GENERAL	2026	ESSEX COUNTY
507885	DEFRANK, SAHWA	ESSEX COUNTY	COUNTY COMMISSIONER	REPUBLICAN	GENERAL	2026	ESSEX COUNTY
505174	DEFRANK, SAHWA	ESSEX COUNTY	COUNTY COMMISSIONER	REPUBLICAN	PRIMARY	2026	ESSEX COUNTY
505924	DIVINCENZO, JOSEPH	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	ESSEX COUNTY
505170	DIVINCENZO, JOSEPH N JR	ESSEX COUNTY	COUNTY EXECUTIVE	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
505172	ELEY, DEMETRIUS	ESSEX COUNTY	COUNTY COMMISSIONER	REPUBLICAN	PRIMARY	2026	ESSEX COUNTY
507882	ELEY, DEMETRIUS	ESSEX COUNTY	COUNTY COMMISSIONER	REPUBLICAN	GENERAL	2026	ESSEX COUNTY
503879	ENGEL, DEBORAH	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
507879	ENGEL, DEBORAH	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	ESSEX COUNTY
503996	FERREIRA ALMEIDA, DANIELA	ESSEX COUNTY	COUNTY COMMISSIONER	REPUBLICAN	PRIMARY	2026	ESSEX COUNTY
507883	FERRIERA ALMEIDA, DANIELA	ESSEX COUNTY	COUNTY COMMISSIONER	REPUBLICAN	GENERAL	2026	ESSEX COUNTY
507884	FREEMAN, DOUGLAS	ESSEX COUNTY	COUNTY COMMISSIONER	REPUBLICAN	GENERAL	2026	ESSEX COUNTY
505173	FREEMAN, DOUGLAS	ESSEX COUNTY	COUNTY COMMISSIONER	REPUBLICAN	PRIMARY	2026	ESSEX COUNTY
461613	GILL, BRENDAN	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
461375	GRAHAM SERMONS, ROMAINE	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
503606	KHANNA, VINEETA	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
503423	KLEIN, SHAWN	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
505175	KRAEMER, ADAM	ESSEX COUNTY	COUNTY COMMISSIONER	REPUBLICAN	PRIMARY	2026	ESSEX COUNTY
507890	KRAEMER, ADAM	ESSEX COUNTY	COUNTY COMMISSIONER	REPUBLICAN	GENERAL	2026	ESSEX COUNTY
505171	LEWIS, MARQES-AQUIL	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
461343	LUCIANO, LEONARD M	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
