eid,name,location,office_cmte,party,election_type,year,search_location
504232,"ALEXANDER, MELISSA",HUDSON COUNTY,COUNTY REGISTRAR OF DEEDS,DEMOCRAT,PRIMARY,2026,HUDSON COUNTY
466348,"APONTE-LIPSKI, YRAIDA",HUDSON COUNTY,COUNTY COMMISSIONER,DEMOCRAT,PRIMARY,2026,HUDSON COUNTY
459284,"BASELICE, ROBERT P",HUDSON COUNTY,COUNTY COMMISSIONER,DEMOCRAT,PRIMARY,2026,HUDSON COUNTY
503536,"BAUTISTA, RONALD",HUDSON COUNTY,COUNTY COMMISSIONER,DEMOCRAT,PRIMARY,2026,HUDSON COUNTY
504234,"BENNETT, LAWRENCE M",HUDSON COUNTY,COUNTY COMMISSIONER,DEMOCRAT,PRIMARY,2026,HUDSON COUNTY
503989,"CEDENO, FANNY",HUDSON COUNTY,COUNTY COMMISSIONER,DEMOCRAT,PRIMARY,2026,HUDSON COUNTY
503165,"DUBLIN, JEFFREY",HUDSON COUNTY,COUNTY REGISTRAR OF DEEDS,DEMOCRAT,PRIMARY,2026,HUDSON COUNTY
503124,"EKLADIOUS, MINA",HUDSON COUNTY,COUNTY COMMISSIONER,DEMOCRAT,PRIMARY,2026,HUDSON COUNTY
475396,"GHAINDA, ADRIAN",HUDSON COUNTY,COUNTY COMMISSIONER,DEMOCRAT,PRIMARY,2026,HUDSON COUNTY
504235,"GOPALAK, ANMOL",HUDSON COUNTY,COUNTY COMMISSIONER,REPUBLICAN,PRIMARY,2026,HUDSON COUNTY
503579,"JOHNSON, PAM",HUDSON COUNTY,COUNTY COMMISSIONER,DEMOCRAT,PRIMARY,2026,HUDSON COUNTY
459974,"KOPACZ, KENNETH",HUDSON COUNTY,COUNTY COMMISSIONER,DEMOCRAT,PRIMARY,2026,HUDSON COUNTY
459966,"O'DEA, WILLIAM",HUDSON COUNTY,COUNTY COMMISSIONER,DEMOCRAT,PRIMARY,2026,HUDSON COUNTY
506814,"O'DEA, WILLIAM",HUDSON COUNTY,COUNTY COMMISSIONER,DEMOCRAT,GENERAL,2026,HUDSON COUNTY
504233,"RAZA, QAMAR",HUDSON COUNTY,COUNTY REGISTRAR OF DEEDS,REPUBLICAN,PRIMARY,2026,HUDSON COUNTY
503455,"ACOSTA, ANTHONY",BAYONNE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
502634,"ASHE NADROWSKI, SHARON",BAYONNE CITY,MAYOR,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
503036,BOOKER CARROLL RADA VELOZ GULLACE & LA PELUSA TEAM BOOKER,BAYONNE CITY,JOINT CANDIDATES CMTE,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
459096,"BOOKER, LOYAD",BAYONNE CITY,MAYOR,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
502841,"BOTTINO, MARK A",BAYONNE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
441534,"CARROLL, CORNELIUS J",BAYONNE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
441914,"DAVIS, JAMES",BAYONNE CITY,MAYOR,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
503458,DESMOND ACOSTA FIERMONTE & LAVELLE,BAYONNE CITY,JOINT CANDIDATES CMTE,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
503454,"DESMOND, MARY JANE",BAYONNE CITY,MAYOR,NONPARTISAN,MUNICIPAL - MAY,2026,BAYONNE CITY
