eid	name	location	office_cmte	party	election_type	year	search_location
504232	ALEXANDER, MELISSA	HUDSON COUNTY	COUNTY REGISTRAR OF DEEDS	DEMOCRAT	PRIMARY	2026	HUDSON COUNTY
466348	APONTE-LIPSKI, YRAIDA	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	HUDSON COUNTY
507217	APONTE-LIPSKI, YRAIDA	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	HUDSON COUNTY
507221	BASELICE, ROBERT P	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	HUDSON COUNTY
459284	BASELICE, ROBERT P	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	HUDSON COUNTY
507218	BAUTISTA, RON	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	HUDSON COUNTY
503536	BAUTISTA, RONALD	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	HUDSON COUNTY
504234	BENNETT, LAWRENCE M	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	HUDSON COUNTY
507219	CEDENO, FANNY	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	HUDSON COUNTY
503989	CEDENO, FANNY	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	HUDSON COUNTY
503165	DUBLIN, JEFFREY	HUDSON COUNTY	COUNTY REGISTRAR OF DEEDS	DEMOCRAT	PRIMARY	2026	HUDSON COUNTY
507213	DUBLIN, JEFFREY	HUDSON COUNTY	COUNTY REGISTRAR OF DEEDS	DEMOCRAT	GENERAL	2026	HUDSON COUNTY
503124	EKLADIOUS, MINA	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	HUDSON COUNTY
475396	GHAINDA, ADRIAN	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	HUDSON COUNTY
504235	GOPALAK, ANMOL	HUDSON COUNTY	COUNTY COMMISSIONER	REPUBLICAN	PRIMARY	2026	HUDSON COUNTY
507223	GOPALAK, ANMOL	HUDSON COUNTY	COUNTY COMMISSIONER	REPUBLICAN	GENERAL	2026	HUDSON COUNTY
507216	JOHNSON, PAM	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	HUDSON COUNTY
503579	JOHNSON, PAM	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	HUDSON COUNTY
459974	KOPACZ, KENNETH	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	HUDSON COUNTY
507215	KOPACZ, KENNETH	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	HUDSON COUNTY
506814	O'DEA, WILLIAM	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	HUDSON COUNTY
459966	O'DEA, WILLIAM	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	HUDSON COUNTY
504233	RAZA, QAMAR	HUDSON COUNTY	COUNTY REGISTRAR OF DEEDS	REPUBLICAN	PRIMARY	2026	HUDSON COUNTY
507214	RAZA, QAMAR	HUDSON COUNTY	COUNTY REGISTRAR OF DEEDS	REPUBLICAN	GENERAL	2026	HUDSON COUNTY
507220	RODRIGUEZ, CARIDAD	HUDSON COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	HUDSON COUNTY
